player,salary,team,position,fpts
Matt Wieters,3500,BAL,C,7.09
Matt Wisler,5900,ATL,SP,13.5
Max Kepler,3900,MIN,OF,4.77
Melvin Upton Jr.,3400,SDP,OF,5.63
Michael Saunders,4000,TOR,OF,6.56
Miguel Cabrera,4900,DET,1B,8.48
Mikie Mahtook,3200,TBR,OF,6.02
Mitch Moreland,3700,TEX,1B,6.29
Mookie Betts,5400,BOS,OF,10.73
Neil Walker,3800,NYM,2B,6.38
Nelson Cruz,4900,SEA,OF,9.26
Nick Castellanos,4800,DET,3B,6.76
Nick Markakis,3100,ATL,OF,5.67
Nolan Reimold,3100,BAL,OF,5.61
Nomar Mazara,3900,TEX,OF,7.91
Norichika Aoki,3200,SEA,OF,5.4
Odubel Herrera,3800,PHI,OF,6.94
Oswaldo Arcia,2800,MIN,OF,4.75
Paul Janish,2000,BAL,3B,3.69
Peter Bourjos,2600,PHI,OF,4.63
Prince Fielder,3100,TEX,1B,5.84
Ramon Flores,2300,MIL,OF,3.31
Reymond Fuentes,2800,KCR,OF,4.1
Robbie Grossman,3400,MIN,OF,6.68
Robert Refsnyder,3000,NYY,1B/OF,5.12
Robinson Cano,4600,SEA,2B,7.1
Rougned Odor,3800,TEX,2B,7
Russell Martin,3000,TOR,C,5.82
Ryan Braun,4000,MIL,OF,7.43
Ryan Flaherty,2100,BAL,3B,3.25
Ryan Goins,2400,TOR,2B/SS,3.73
Ryan Zimmerman,3500,WAS,1B,6.64
Salvador Perez,3400,KCR,C,6.03
Scooter Gennett,2300,MIL,2B,4.5
Scott Kazmir,8500,LAD,SP,19.2
Shin-Soo Choo,3100,TEX,OF,7.07
Starlin Castro,3700,NYY,2B,6.34
Starling Marte,5300,PIT,OF,7.35
Stephen Vogt,3300,OAK,C,7.17
Steve Pearce,3800,TBR,1B/2B,7.06
Steve Souza,3700,TBR,OF,5.98
Tanner Roark,10300,WAS,SP,21.79
Tim Beckham,3500,TBR,2B/SS,5.97
Tommy Joseph,3500,PHI,1B,6.25
Travis Shaw,3900,BOS,1B/3B,6.47
Trayce Thompson,3600,LAD,OF,6.87
Trevor Plouffe,3500,MIN,3B,6.64
Tucker Barnhart,2700,CIN,C,4.76
Tyler Flowers,2400,ATL,C,4.81
Tyler Goeddel,3100,PHI,OF,5.32
Tyler Holt,3100,CIN,OF,5.11
Tyler Wilson,4000,BAL,SP,6.23
Victor Martinez,4400,DET,1B,7.13
Whit Merrifield,3300,KCR,2B/OF,6.15
Wil Myers,4900,SDP,1B,7.73
Wilmer Flores,2600,NYM,3B,5.91
Wilson Ramos,4400,WAS,C,6.42
Xander Bogaerts,5500,BOS,SS,9.09
Yangervis Solarte,3200,SDP,2B/3B,6.33
Yasmani Grandal,3200,LAD,C,5.81
Yoenis Cespedes,4400,NYM,OF,9.06
Yonder Alonso,2700,OAK,1B,5.78
Zack Cozart,3600,CIN,SS,6.61
